Item,,Min_UnitCost,Avg_UnitCost,Max_UnitCost
Product Description,UoM,,,
Adaptor 25mm(1 Inch ) - UPVC,Each,46,69,103.5
Adaptors 32mm ( 1 ¼ Inch) UPVC,Each,52,78,117
Air vents - Concrete made,pair,28,42,63
Air vents - PVC made,pair,18,27,40.5
Anti-termite 1 Liter,Each,94,141,211.5
Bathtub - Stainless steel,Each,3083,4624.5,6936.75
Bathtub -Fiber make,Each,2327,3490.5,5235.75
Bend - 32mm (1 ¼ Inch) Diameter PVC plain,Each,24,36,54
Black soil,Ton,320,480,720
Blockboard - 18mm thick for shelvings and pelmet - 1220 x 2440 mm,Each,1281,1921.5,2882.25
Bolts - M12x 50 bolts complete with nut and two(2No.) washers,Each,31,46.5,69.75
Bolts - M16 anchor bolts,Each,53,79.5,119.25
Bolts - M16 x 55 bolts complete with nut and two (2No.) washers,Each,56,84,126
Bolts & Nuts M16,Each,39,58.5,87.75
Bolts and Nuts 35X 8mm,Each,42,63,94.5
Brick -Burnt Clay Brick,Each,4,6,9
Brick force Wire 4 inch (100mm),Roll,37,55.5,83.25
Brick force Wire 6 inch (150mm),Roll,45,67.5,101.25
Brick force Wire 8 inch (200mm),Roll,53,79.5,119.25
Brick-Factory Made Brick,Each,13,19.5,29.25
Building Sand,Ton,359,538.5,807.75
Ceiling - 6mm Fiber cement pre- painted inlay panels 1200 x 600mm,Each,197,295.5,443.25
Ceiling - PVC Ceiling,m2,164,246,369
Cement 32.5-50Kg,Each,195,292.5,438.75
Cement 42.5-50Kg,Each,208,312,468
Chalk board 4800 x 1200mm,Each,1977,2965.5,4448.25
Claw hammer,Each,148,222,333
Clear varnish - 1 Litres,Each,151,226.5,339.75
Clear varnish - 2.5 Litres,Each,312,468,702
Clear varnish - 5 Litres,Each,583,874.5,1311.75
Concrete brick,Each,17,25.5,38.25
Concrete Hollow Block - 6 Inch (150mm) Thick,Each,13,19.5,29.25
Concrete Hollow Block - 8 Inch (200mm) thick,Each,15,22.5,33.75
Concrete Hollow Block- 4 Inch (100mm) Thick,Each,11,16.5,24.75
Concrete Pavers,M2,168,252,378
Conduit pipes - 4m x 20mm x 25 pcs PVC (Light Duty),Bunch,609,913.5,1370.25
Conduitpipes - 4m x 25mm x 25 pcs PVC (Heavy Duty),Bunch,1558,2337,3505.5
Conforce wire - 257 3.2mm x 48 meters length(Heavy Duty),Each,3741,5611.5,8417.25
Conforce wire - 257-4mm x 48 meters length(Heavy Duty),Each,4812,7218,10827
Conforce wire - 86 x 40 meters length(Light Duty),Each,1432,2148,3222
Conforce wire - 86 x 50 meters length(Light Duty),Each,1645,2467.5,3701.25
Crip saddle - GI,Each,3,4.5,6.75
Crip saddle - PVC,Each,2,3,4.5
Crushed Stones - 10mm,Ton,379,568.5,852.75
Crushed Stones - 20mm,Ton,379,568.5,852.75
Crushed Stones - 5mm,Ton,355,532.5,798.75
Curtain Single Track - 2m,Each,279,418.5,627.75
Curtain Steel Rod - 2.5m,Each,309,463.5,695.25
Curtain Steel Rod - 3m,Each,437,655.5,983.25
Damp Proof Course (DPC),Roll,90,135,202.5
Damp Proof Course (DPC),Roll,92,138,207
Damp Proof Membrane (DPM) - Black plastic,Roll,1098,1647,2470.5
Diamond Cutting Disc - 12 inch,Each,224,336,504
Diamond Cutting Disc - 3 inch,Each,105,157.5,236.25
Diamond Cutting Disc - 6 inch,Each,138,207,310.5
Diamond Cutting Disc - 9 inch,Each,203,304.5,456.75
Diamond mesh wire 1.2m x 30m x 2mm,Each,2455,3682.5,5523.75
Door - 525 x 1960 x 44mm Mukwa Door,Each,1869,2803.5,4205.25
Door - 525 x 1960 x 44mm semi solid Core Flush Door,Each,946,1419,2128.5
Door - 525 x 1960 x 44mm thick Flush Door,Each,653,979.5,1469.25
Door - 625 x 1960 x 44mm Mukwa Door,Each,2393,3589.5,5384.25
Door - 625 x 1960 x 44mm Semi Solid Core Flush Door,Each,1046,1569,2353.5
Door - 625 x 1960 x 44mm Thick Flush Door,Each,607,910.5,1365.75
Door - 725 x 1960 x 44 mm semi solid Core Flush Door,Each,814,1221,1831.5
Door - 725 x 1960 x 44 mm Thick Flush Door,Each,634,951,1426.5
Door - 725 x 1960 x 44mm Thick Mukwa Door,Each,2331,3496.5,5244.75
Door - 825 x 1960 x 44 mm Semi Solid Core Flush Door,Each,1109,1663.5,2495.25
Door - 825 x 1960 x 44 mm Thick Flush Door,Each,749,1123.5,1685.25
Door - 825 x 1960 x 44 mm Thick Rosewood veneered H/C Door,Each,3329,4993.5,7490.25
Door - 825 x 1960 x 44mm Thick Mukwa Door,Each,2588,3882,5823
Door rubber stopper,Each,56,84,126
Earth Copper wire,m,66,99,148.5
Elbow - 13mm (½ inc) -GI,Each,17,25.5,38.25
Elbow - 13mm (½ inch) Diameter-PVC,Each,11,16.5,24.75
Elbow - 19 mm (¼ inch) Diameter - PVC,Each,14,21,31.5
Elbow - 19mm (¾ inch) - GI,Each,25,37.5,56.25
Elbow - 25mm (1 inch)-GI,Each,31,46.5,69.75
Elbow - 25mm (1 inch)-PVC,Each,26,39,58.5
Equal Angles 25 x 25 x 3mm angle iron x 6 metres,Each,198,297,445.5
Equal Angles 30 x 30 x 3mm angle iron x 6 metres,Each,226,339,508.5
Equal Angles 40 x 40 x 5mm angle iron x 6 metres,Each,397,595.5,893.25
Equal Angles 50 x 50 x 5mm angle iron x 6 metres,Each,700,1050,1575
Equal Angles 60 x 60 x 5mm angle iron x 6 metres,Each,871,1306.5,1959.75
Equal Angles 70 x 70 x 8mm angle iron x 6 metres,Each,1160,1740,2610
Equal Angles 80 x 80 x 8mm angle iron x 6 metres,Each,1556,2334,3501
Equal Angles 90 x 90 x 8mm angle iron x 6 metres,Each,1896,2844,4266
Female adaptor - 13mm (½ inch) - GI,Each,19,28.5,42.75
Female adaptor - 13mm (½ inch) - PVC,Each,15,22.5,33.75
